score_thresh=0.9533, TTA_thresh=0.0640, score=1.8181
score_thresh=0.9881, TTA_thresh=0.0666, score=1.7680
score_thresh=0.9591, TTA_thresh=0.0782, score=1.8159
score_thresh=0.9754, TTA_thresh=0.0229, score=1.7902
score_thresh=0.9744, TTA_thresh=0.0025, score=1.7731
score_thresh=0.9669, TTA_thresh=0.0229, score=1.8027
score_thresh=0.9753, TTA_thresh=0.1286, score=1.7957
score_thresh=0.9758, TTA_thresh=0.1351, score=1.7935
score_thresh=0.9919, TTA_thresh=0.1133, score=1.7413
score_thresh=0.9867, TTA_thresh=0.1418, score=1.7692
score_thresh=0.9738, TTA_thresh=0.1379, score=1.8018
score_thresh=0.9851, TTA_thresh=0.1048, score=1.7776
score_thresh=0.9997, TTA_thresh=0.0245, score=1.0825
score_thresh=0.9678, TTA_thresh=0.1077, score=1.8089
score_thresh=0.9501, TTA_thresh=0.1348, score=1.8203
score_thresh=0.9525, TTA_thresh=0.0640, score=1.8190
score_thresh=0.9561, TTA_thresh=0.0874, score=1.8179
score_thresh=0.9668, TTA_thresh=0.1073, score=1.8105
score_thresh=0.9500, TTA_thresh=0.1129, score=1.8218
score_thresh=0.9665, TTA_thresh=0.0686, score=1.8122
score_thresh=0.9512, TTA_thresh=0.1190, score=1.8215
score_thresh=0.9589, TTA_thresh=0.1500, score=1.8130
score_thresh=0.9610, TTA_thresh=0.1351, score=1.8140
score_thresh=0.9919, TTA_thresh=0.1391, score=1.7394
score_thresh=0.9600, TTA_thresh=0.1099, score=1.8151
score_thresh=0.9738, TTA_thresh=0.1178, score=1.8036
score_thresh=0.9869, TTA_thresh=0.1444, score=1.7706
score_thresh=0.9658, TTA_thresh=0.0387, score=1.8037
score_thresh=0.9531, TTA_thresh=0.1423, score=1.8168
score_thresh=0.9691, TTA_thresh=0.1007, score=1.8060
score_thresh=0.9710, TTA_thresh=0.0640, score=1.8047
score_thresh=0.9710, TTA_thresh=0.0874, score=1.8050
score_thresh=0.9710, TTA_thresh=0.1131, score=1.8044
score_thresh=0.9500, TTA_thresh=0.1129, score=1.8218
score_thresh=0.9587, TTA_thresh=0.1034, score=1.8151
score_thresh=0.9535, TTA_thresh=0.0804, score=1.8188
score_thresh=0.9500, TTA_thresh=0.1134, score=1.8218
score_thresh=0.9518, TTA_thresh=0.1288, score=1.8193
score_thresh=0.9665, TTA_thresh=0.0946, score=1.8102
score_thresh=0.9540, TTA_thresh=0.1099, score=1.8179
